match_id,match_no,stage,group,date,team_a,team_b,goals_a,goals_b,match,status,raw_rows,source_url,tried_queries
GE-56,,Group Stage,E,2026-06-25,Ecuador,Germany,2,1,,ok,32,https://www.google.com/search?q=Ecuador%20vs%20Germany%20FIFA%20World%20Cup%202026#sie=m;/g/11yr_39fvs;2;/m/030q7;ln;fp;1;;;;-1,Ecuador vs Germany FIFA World Cup 2026
GF-57,,Group Stage,F,2026-06-25,Netherlands,Tunisia,3,1,,ok,32,https://www.google.com/search?q=Netherlands%20vs%20Tunisia%20FIFA%20World%20Cup%202026#sie=m;/g/11ms2jvy8d;2;/m/030q7;ln;fp;1;;;;-1,Netherlands vs Tunisia FIFA World Cup 2026
GF-58,,Group Stage,F,2026-06-25,Japan,Sweden,1,1,,ok,32,https://www.google.com/search?q=Japan%20vs%20Sweden%20FIFA%20World%20Cup%202026#sie=m;/g/11yr_3r24l;2;/m/030q7;ln;fp;1;;;;-1,Japan vs Sweden FIFA World Cup 2026
GD-59,,Group Stage,D,2026-06-25,Turkiye,USA,3,2,,ok,32,https://www.google.com/search?q=Turkey%20vs%20United%20States%20FIFA%20World%20Cup%202026#sie=m;/g/11yqs5348y;2;/m/030q7;ln;fp;1;;;;-1,Turkey vs United States FIFA World Cup 2026
GD-60,,Group Stage,D,2026-06-25,Paraguay,Australia,0,0,,ok,30,https://www.google.com/search?q=Paraguay%20vs%20Australia%20FIFA%20World%20Cup%202026#sie=m;/g/11yrzqlxbb;2;/m/030q7;ln;fp;1;;;;-1,Paraguay vs Australia FIFA World Cup 2026
GI-61,,Group Stage,I,2026-06-26,France,Norway,4,1,,ok,32,https://www.google.com/search?q=France%20vs%20Norway%20FIFA%20World%20Cup%202026#sie=m;/g/11ms2jwpbb;2;/m/030q7;ln;fp;1;;;;-1,France vs Norway FIFA World Cup 2026
GI-62,,Group Stage,I,2026-06-26,Senegal,Iraq,5,0,,no_more_about,0,https://www.google.com/search?q=Senegal%20Iraq%20World%20Cup%202026%20lineups%20ratings,Senegal vs Iraq FIFA World Cup 2026 | Iraq vs Senegal FIFA World Cup 2026 | Senegal Iraq FIFA World Cup 2026 full time | Senegal Iraq World Cup 2026 lineups ratings
GH-63,,Group Stage,H,2026-06-26,Cabo Verde,Saudi Arabia,0,0,,ok,32,https://www.google.com/search?q=Cape%20Verde%20vs%20Saudi%20Arabia%20FIFA%20World%20Cup%202026#sie=m;/g/11yqs4lb0w;2;/m/030q7;ln;fp;1;;;;-1,Cape Verde vs Saudi Arabia FIFA World Cup 2026
GH-64,,Group Stage,H,2026-06-26,Spain,Uruguay,1,0,,ok,31,https://www.google.com/search?q=Spain%20vs%20Uruguay%20FIFA%20World%20Cup%202026#sie=m;/g/11yr_37f3c;2;/m/030q7;ln;fp;1;;;;-1,Spain vs Uruguay FIFA World Cup 2026
GG-65,,Group Stage,G,2026-06-26,Belgium,New Zealand,5,1,,ok,32,https://www.google.com/search?q=Belgium%20vs%20New%20Zealand%20FIFA%20World%20Cup%202026#sie=m;/g/11ms2kvqz7;2;/m/030q7;ln;fp;1;;;;-1,Belgium vs New Zealand FIFA World Cup 2026
GG-66,,Group Stage,G,2026-06-26,Egypt,Iran,1,1,,ok,30,https://www.google.com/search?q=Egypt%20vs%20Iran%20FIFA%20World%20Cup%202026#sie=m;/g/11yr_3tn23;2;/m/030q7;ln;fp;1;;;;-1,Egypt vs Iran FIFA World Cup 2026
GJ-67,,Group Stage,J,2026-06-27,Algeria,Austria,3,3,,ok,31,https://www.google.com/search?q=Algeria%20vs%20Austria%20FIFA%20World%20Cup%202026#sie=m;/g/11yqrszht2;2;/m/030q7;ln;fp;1;;;;-1,Algeria vs Austria FIFA World Cup 2026
GJ-68,,Group Stage,J,2026-06-27,Jordan,Argentina,1,3,,ok,32,https://www.google.com/search?q=Jordan%20vs%20Argentina%20FIFA%20World%20Cup%202026#sie=m;/g/11yqrvfmbd;2;/m/030q7;ln;fp;1;;;;-1,Jordan vs Argentina FIFA World Cup 2026
GK-69,,Group Stage,K,2026-06-27,Colombia,Portugal,0,0,,ok,32,https://www.google.com/search?q=Colombia%20vs%20Portugal%20FIFA%20World%20Cup%202026#sie=m;/g/11ms2k2435;2;/m/030q7;ln;fp;1;;;;-1,Colombia vs Portugal FIFA World Cup 2026
GK-70,,Group Stage,K,2026-06-27,DR Congo,Uzbekistan,3,1,,ok,32,https://www.google.com/search?q=DR%20Congo%20vs%20Uzbekistan%20FIFA%20World%20Cup%202026#sie=m;/g/11yqs4pbjd;2;/m/030q7;ln;fp;1;;;;-1,DR Congo vs Uzbekistan FIFA World Cup 2026
GL-71,,Group Stage,L,2026-06-27,Panama,England,0,2,,ok,32,https://www.google.com/search?q=Panama%20vs%20England%20FIFA%20World%20Cup%202026#sie=m;/g/11ms2jvy8f;2;/m/030q7;ln;fp;1;;;;-1,Panama vs England FIFA World Cup 2026
GL-72,,Group Stage,L,2026-06-27,Croatia,Ghana,2,1,,ok,31,https://www.google.com/search?q=Croatia%20vs%20Ghana%20FIFA%20World%20Cup%202026#sie=m;/g/11yqrvkq46;2;/m/030q7;ln;fp;1;;;;-1,Croatia vs Ghana FIFA World Cup 2026
M73,73,Round of 32,,2026-06-28,South Africa,Canada,0,1,,ok,30,https://www.google.com/search?q=South%20Africa%20vs%20Canada%20FIFA%20World%20Cup%202026#sie=m;/g/11xmtbzv5g;2;/m/030q7;ln;fp;1;;;;-1,South Africa vs Canada FIFA World Cup 2026
M74,74,Round of 32,,2026-06-29,Germany,Paraguay,1,1,,ok,34,https://www.google.com/search?q=Germany%20vs%20Paraguay%20FIFA%20World%20Cup%202026#sie=m;/g/11xl345l5b;2;/m/030q7;ln;fp;1;;;;-1,Germany vs Paraguay FIFA World Cup 2026
M75,75,Round of 32,,2026-06-29,Netherlands,Morocco,1,1,,ok,33,https://www.google.com/search?q=Netherlands%20vs%20Morocco%20FIFA%20World%20Cup%202026#sie=m;/g/11xl30sqz6;2;/m/030q7;ln;fp;1;;;;-1,Netherlands vs Morocco FIFA World Cup 2026
M76,76,Round of 32,,2026-06-29,Brazil,Japan,2,1,,ok,31,https://www.google.com/search?q=Brazil%20vs%20Japan%20FIFA%20World%20Cup%202026#sie=m;/g/11yflp3544;2;/m/030q7;ln;fp;1;;;;-1,Brazil vs Japan FIFA World Cup 2026
M77,77,Round of 32,,2026-06-30,France,Sweden,3,0,,ok,32,https://www.google.com/search?q=France%20vs%20Sweden%20FIFA%20World%20Cup%202026#sie=m;/g/11xmtb5phg;2;/m/030q7;ln;fp;1;;;;-1,France vs Sweden FIFA World Cup 2026
M78,78,Round of 32,,2026-06-30,Cote d'Ivoire,Norway,1,2,,ok,30,https://www.google.com/search?q=world+cup#sie=m;/g/11xl329t7w;2;/m/030q7;ln;fp;1;;;;-1,
M79,79,Round of 32,,2026-06-30,Mexico,Ecuador,2,0,,ok,32,https://www.google.com/search?q=Ecuador%20vs%20Mexico%20FIFA%20World%20Cup%202026#sie=m;/g/11xl3btx74;2;/m/030q7;ln;fp;1;;;;-1,Mexico vs Ecuador FIFA World Cup 2026 | Ecuador vs Mexico FIFA World Cup 2026
M80,80,Round of 32,,2026-07-01,England,DR Congo,2,1,,ok,31,https://www.google.com/search?q=DR%20Congo%20vs%20England%20FIFA%20World%20Cup%202026#sie=m;/g/11xmtl7npy;2;/m/030q7;ln;fp;1;;;;-1,England vs DR Congo FIFA World Cup 2026 | DR Congo vs England FIFA World Cup 2026
M81,81,Round of 32,,2026-07-01,USA,Bosnia and Herzegovina,2,0,,ok,30,https://www.google.com/search?q=United%20States%20vs%20Bosnia%20Herzegovina%20FIFA%20World%20Cup%202026#sie=m;/g/11xmtny36c;2;/m/030q7;ln;fp;1;;;;-1,United States vs Bosnia Herzegovina FIFA World Cup 2026
M82,82,Round of 32,,2026-07-01,Belgium,Senegal,3,2,,ok,34,https://www.google.com/search?q=Belgium%20vs%20Senegal%20FIFA%20World%20Cup%202026#sie=m;/g/11xl30wm6_;2;/m/030q7;ln;fp;1;;;;-1,Belgium vs Senegal FIFA World Cup 2026
