match_id,match_no,stage,date,team_a,team_b,goals_a,goals_b,label,status,event_id,custom_id,slug,sofascore_name,sofascore_date_utc,sofascore_score,orientation,search_score,matched_query,tried_queries,error
GH-16,,Group Stage,2026-06-15,Saudi Arabia,Uruguay,1,1,Saudi Arabia 1-1 Uruguay,matched,15186811,AUbsJWb,saudi-arabia-uruguay,Saudi Arabia - Uruguay,2026-06-15,1-1,same,495.9286,Saudi Arabia Uruguay,Saudi Arabia Uruguay | Uruguay Saudi Arabia | Saudi Arabia Uruguay World Championship,
GI-17,,Group Stage,2026-06-16,France,Senegal,3,1,France 3-1 Senegal,matched,15186501,GObsOUb,senegal-france,France - Senegal,2026-06-16,3-1,same,555.9952,France Senegal,France Senegal | Senegal France | France Senegal World Championship,
GI-18,,Group Stage,2026-06-16,Iraq,Norway,1,4,Iraq 1-4 Norway,matched,15186773,AObsrVb,iraq-norway,Iraq - Norway,2026-06-16,1-4,same,496.0136,Iraq Norway,Iraq Norway | Norway Iraq | Iraq Norway World Championship,
GJ-19,,Group Stage,2026-06-16,Argentina,Algeria,3,0,Argentina 3-0 Algeria,matched,15186854,QTbsuWb,argentina-algeria,Argentina - Algeria,2026-06-17,3-0,same,582.6673,Argentina Algeria,Argentina Algeria | Algeria Argentina | Argentina Algeria World Championship,
GJ-20,,Group Stage,2026-06-17,Austria,Jordan,3,1,Austria 3-1 Jordan,matched,15186751,tUbswVb,jordan-austria,Austria - Jordan,2026-06-17,3-1,same,500.8634,Austria Jordan,Austria Jordan | Jordan Austria | Austria Jordan World Championship,
GK-21,,Group Stage,2026-06-17,Portugal,DR Congo,1,1,Portugal 1-1 DR Congo,matched,15186709,eUbsyWb,dr-congo-portugal,Portugal - DR Congo,2026-06-17,1-1,same,574.0349,Portugal DR Congo,Portugal DR Congo | DR Congo Portugal | Portugal Congo DR | Congo DR Portugal | Portugal Democratic Republic of Congo | Democratic Republic of Congo Portugal | Portugal Congo DR World Championship,
GK-22,,Group Stage,2026-06-17,Colombia,Uzbekistan,3,1,Colombia 3-1 Uzbekistan,matched,15186722,yUbsvWb,colombia-uzbekistan,Uzbekistan - Colombia,2026-06-18,1-3,reversed,521.1751,Uzbekistan Colombia,Colombia Uzbekistan | Uzbekistan Colombia | Colombia Uzbekistan World Championship,
GK-23,,Group Stage,2026-06-23,Portugal,Uzbekistan,5,0,Portugal 5-0 Uzbekistan,matched,15186858,eUbsyUb,uzbekistan-portugal,Portugal - Uzbekistan,2026-06-23,5-0,same,581.9388,Portugal Uzbekistan,Portugal Uzbekistan | Uzbekistan Portugal | Portugal Uzbekistan World Championship,
GK-24,,Group Stage,2026-06-23,Colombia,DR Congo,1,0,Colombia 1-0 DR Congo,matched,15186713,vWbsyWb,dr-congo-colombia,Colombia - DR Congo,2026-06-24,1-0,same,539.5115,Colombia DR Congo,Colombia DR Congo | DR Congo Colombia | Colombia Congo DR | Congo DR Colombia | Colombia Democratic Republic of Congo | Democratic Republic of Congo Colombia | Colombia Congo DR World Championship,
GL-25,,Group Stage,2026-06-17,England,Croatia,4,2,England 4-2 Croatia,matched,15186504,nUbspUb,croatia-england,England - Croatia,2026-06-17,4-2,same,545.4216,England Croatia,England Croatia | Croatia England | England Croatia World Championship,
GL-26,,Group Stage,2026-06-17,Ghana,Panama,1,0,Ghana 1-0 Panama,matched,15186687,oVbsodc,panama-ghana,Ghana - Panama,2026-06-17,1-0,same,496.2894,Ghana Panama,Ghana Panama | Panama Ghana | Ghana Panama World Championship,
GL-27,,Group Stage,2026-06-23,England,Ghana,0,0,England 0-0 Ghana,matched,15186672,nUbsoVb,ghana-england,England - Ghana,2026-06-23,0-0,same,553.6027,England Ghana,England Ghana | Ghana England | England Ghana World Championship,
GL-28,,Group Stage,2026-06-23,Panama,Croatia,0,1,Panama 0-1 Croatia,matched,15186520,pUbsodc,panama-croatia,Panama - Croatia,2026-06-23,0-1,same,518.0656,Panama Croatia,Panama Croatia | Croatia Panama | Panama Croatia World Championship,
GA-29,,Group Stage,2026-06-18,Czechia,South Africa,1,1,Czechia 1-1 South Africa,matched,15186731,oUbsLUb,south-africa-czechia,Czechia - South Africa,2026-06-18,1-1,same,498.4304,Czechia South Africa,Czechia South Africa | South Africa Czechia | Czech Republic South Africa | South Africa Czech Republic | Czech Republic South Africa World Championship,
GA-30,,Group Stage,2026-06-18,Mexico,Korea Republic,1,0,Mexico 1-0 Korea Republic,matched,15186490,KUbsGVb,mexico-south-korea,Mexico - South Korea,2026-06-19,1-0,same,521.1557,Mexico South Korea,Mexico Korea Republic | Korea Republic Mexico | Mexico South Korea | South Korea Mexico | Mexico Republic of Korea | Republic of Korea Mexico | Mexico South Korea World Championship,
GB-31,,Group Stage,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,Switzerland 4-1 Bosnia and Herzegovina,matched,15186806,EObsZTb,switzerland-bosnia-and-herzegovina,Switzerland - Bosnia & Herzegovina,2026-06-18,4-1,same,500.2371,Switzerland Bosnia & Herzegovina,Switzerland Bosnia and Herzegovina | Bosnia and Herzegovina Switzerland | Switzerland Bosnia & Herzegovina | Bosnia & Herzegovina Switzerland | Switzerland Bosnia Herzegovina | Bosnia Herzegovina Switzerland | Switzerland Bosnia & Herzegovina World Championship,
GB-32,,Group Stage,2026-06-18,Canada,Qatar,6,0,Canada 6-0 Qatar,matched,15186798,cVbsRVb,qatar-canada,Canada - Qatar,2026-06-18,6-0,same,492.8747,Canada Qatar,Canada Qatar | Qatar Canada | Canada Qatar World Championship,
GC-33,,Group Stage,2026-06-19,Morocco,Scotland,1,0,Morocco 1-0 Scotland,matched,15186859,VTbsDVb,morocco-scotland,Scotland - Morocco,2026-06-19,0-1,reversed,532.8986,Scotland Morocco,Morocco Scotland | Scotland Morocco | Morocco Scotland World Championship,
GC-34,,Group Stage,2026-06-19,Brazil,Haiti,3,0,Brazil 3-0 Haiti,matched,15186856,YUbsEUc,haiti-brazil,Brazil - Haiti,2026-06-20,3-0,same,606.5189,Brazil Haiti,Brazil Haiti | Haiti Brazil | Brazil Haiti World Championship,
GD-35,,Group Stage,2026-06-19,USA,Australia,2,0,USA 2-0 Australia,matched,15186878,zUbsQUb,australia-usa,USA - Australia,2026-06-19,2-0,same,500.3538,USA Australia,USA Australia | Australia USA | United States Australia | Australia United States | United States of America Australia | Australia United States of America | USA Australia World Championship,
