match_id,match_no,stage,date,team_a,team_b,goals_a,goals_b,label,status,event_id,custom_id,slug,sofascore_name,sofascore_date_utc,sofascore_score,orientation,search_score,matched_query,tried_queries,error
M78,78,Round of 32,2026-06-30,Cote d'Ivoire,Norway,1,2,Cote d'Ivoire 1-2 Norway,matched,12812989,AObstVb,cote-divoire-norway,Côte d'Ivoire - Norway,2026-06-30,1-2,same,539.3777,Cote d'Ivoire Norway,Cote d'Ivoire Norway | Norway Cote d'Ivoire | Côte d'Ivoire Norway | Norway Côte d'Ivoire | Côte d’Ivoire Norway | Norway Côte d’Ivoire | Ivory Coast Norway | Norway Ivory Coast | Cote d Ivoire Norway | Norway Cote d Ivoire | Côte d'Ivoire Norway World Championship,
M79,79,Round of 32,2026-06-30,Mexico,Ecuador,2,0,Mexico 2-0 Ecuador,matched,12813001,hVbsGVb,mexico-ecuador,Mexico - Ecuador,2026-07-01,2-0,same,548.9226,Mexico Ecuador,Mexico Ecuador | Ecuador Mexico | Mexico Ecuador World Championship,
M80,80,Round of 32,2026-07-01,England,DR Congo,2,1,England 2-1 DR Congo,matched,12813020,nUbsyWb,dr-congo-england,England - DR Congo,2026-07-01,2-1,same,573.9919,England DR Congo,England DR Congo | DR Congo England | England Congo DR | Congo DR England | England Democratic Republic of Congo | Democratic Republic of Congo England | England Congo DR World Championship,
M81,81,Round of 32,2026-07-01,USA,Bosnia and Herzegovina,2,0,USA 2-0 Bosnia and Herzegovina,matched,12812992,EObszUb,usa-bosnia-and-herzegovina,USA - Bosnia & Herzegovina,2026-07-02,2-0,same,542.2204,USA Bosnia & Herzegovina,USA Bosnia and Herzegovina | Bosnia and Herzegovina USA | USA Bosnia & Herzegovina | Bosnia & Herzegovina USA | USA Bosnia Herzegovina | Bosnia Herzegovina USA | United States Bosnia and Herzegovina | Bosnia and Herzegovina United States | United States Bosnia & Herzegovina | Bosnia & Herzegovina United States | United States Bosnia Herzegovina | Bosnia Herzegovina United States | United States of America Bosnia and Herzegovina | Bosnia and Herzegovina United States of America | United States of America Bosnia & Herzegovina | Bosnia & Herzegovina United States of America | United States of America Bosnia Herzegovina | Bosnia Herzegovina United States of America | USA Bosnia & Herzegovina World Championship,
M82,82,Round of 32,2026-07-01,Belgium,Senegal,3,2,Belgium 3-2 Senegal,matched,12813013,rUbsOUb,senegal-belgium,Belgium - Senegal,2026-07-01,3-2,same,552.0475,Belgium Senegal,Belgium Senegal | Senegal Belgium | Belgium Senegal World Championship,
M83,83,Round of 32,2026-07-02,Portugal,Croatia,2,1,Portugal 2-1 Croatia,matched,12812997,eUbspUb,croatia-portugal,Portugal - Croatia,2026-07-02,2-1,same,604.8579,Portugal Croatia,Portugal Croatia | Croatia Portugal | Portugal Croatia World Championship,
M84,84,Round of 32,2026-07-02,Spain,Austria,3,0,Spain 3-0 Austria,matched,12813004,YTbstUb,austria-spain,Spain - Austria,2026-07-02,3-0,same,596.0095,Spain Austria,Spain Austria | Austria Spain | Spain Austria World Championship,
M85,85,Round of 32,2026-07-02,Switzerland,Algeria,2,0,Switzerland 2-0 Algeria,matched,12813019,QTbsZTb,switzerland-algeria,Switzerland - Algeria,2026-07-03,2-0,same,552.6932,Switzerland Algeria,Switzerland Algeria | Algeria Switzerland | Switzerland Algeria World Championship,
M86,86,Round of 32,2026-07-03,Argentina,Cabo Verde,3,2,Argentina 3-2 Cabo Verde,matched,12812999,dVbsuWb,argentina-cabo-verde,Argentina - Cabo Verde,2026-07-03,3-2,same,603.7246,Argentina Cabo Verde,Argentina Cabo Verde | Cabo Verde Argentina | Argentina Cape Verde | Cape Verde Argentina | Argentina Cape Verde World Championship,
M87,87,Round of 32,2026-07-03,Colombia,Ghana,1,0,Colombia 1-0 Ghana,matched,12813011,oVbsvWb,colombia-ghana,Colombia - Ghana,2026-07-04,1-0,same,558.9485,Colombia Ghana,Colombia Ghana | Ghana Colombia | Colombia Ghana World Championship,
M88,88,Round of 32,2026-07-03,Australia,Egypt,1,1,Australia 1-1 Egypt,matched,12813018,QUbsiVb,egypt-australia,Australia - Egypt,2026-07-03,1-1,same,549.9686,Australia Egypt,Australia Egypt | Egypt Australia | Australia Egypt World Championship,
M89,89,Round of 16,2026-07-04,Paraguay,France,0,1,Paraguay 0-1 France,matched,12813010,GObsOVb,paraguay-france,Paraguay - France,2026-07-04,0-1,same,583.5093,Paraguay France,Paraguay France | France Paraguay | Paraguay France World Championship,
M90,90,Round of 16,2026-07-04,Canada,Morocco,0,3,Canada 0-3 Morocco,matched,12813009,cVbsDVb,morocco-canada,Canada - Morocco,2026-07-04,0-3,same,566.9501,Canada Morocco,Canada Morocco | Morocco Canada | Canada Morocco World Championship,
M91,91,Round of 16,2026-07-05,Brazil,Norway,1,2,Brazil 1-2 Norway,matched,12813006,AObsYUb,brazil-norway,Brazil - Norway,2026-07-05,1-2,same,632.0665,Brazil Norway,Brazil Norway | Norway Brazil | Brazil Norway World Championship,
M92,92,Round of 16,2026-07-05,Mexico,England,2,3,Mexico 2-3 England,matched,12813007,nUbsGVb,mexico-england,Mexico - England,2026-07-06,2-3,same,594.9533,Mexico England,Mexico England | England Mexico | Mexico England World Championship,
M93,93,Round of 16,2026-07-06,Portugal,Spain,0,1,Portugal 0-1 Spain,matched,12812990,YTbseUb,portugal-spain,Portugal - Spain,2026-07-06,0-1,same,637.6187,Portugal Spain,Portugal Spain | Spain Portugal | Portugal Spain World Championship,
M94,94,Round of 16,2026-07-06,USA,Belgium,1,4,USA 1-4 Belgium,matched,12813002,rUbszUb,usa-belgium,USA - Belgium,2026-07-07,1-4,same,549.8687,USA Belgium,USA Belgium | Belgium USA | United States Belgium | Belgium United States | United States of America Belgium | Belgium United States of America | USA Belgium World Championship,
M95,95,Round of 16,2026-07-07,Argentina,Egypt,3,2,Argentina 3-2 Egypt,matched,12812993,iVbsuWb,argentina-egypt,Argentina - Egypt,2026-07-07,3-2,same,625.3191,Argentina Egypt,Argentina Egypt | Egypt Argentina | Argentina Egypt World Championship,
M96,96,Round of 16,2026-07-07,Switzerland,Colombia,0,0,Switzerland 0-0 Colombia,matched,12812991,ZTbsvWb,colombia-switzerland,Switzerland - Colombia,2026-07-07,0-0,same,550.8009,Switzerland Colombia,Switzerland Colombia | Colombia Switzerland | Switzerland Colombia World Championship,
