match_id,match_no,event_id,stage,date,team_a,team_b,period,group,stat_key,stat_name,home_value,away_value
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Goalkeeping,goalkeeperSaves,Total saves,2,2
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Goalkeeping,goalsPrevented,Goals prevented,0.13,-0.72
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Goalkeeping,diveSaves,Big saves,0,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Goalkeeping,highClaims,High claims,0,2
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Goalkeeping,punches,Punches,0,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Goalkeeping,goalKicks,Goal kicks,5,8
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Match overview,ballPossession,Ball possession,57%,43%
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Match overview,expectedGoals,Expected goals,0.69,0.06
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Match overview,bigChanceCreated,Big chances,1,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Match overview,totalShotsOnGoal,Total shots,10,2
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Match overview,goalkeeperSaves,Goalkeeper saves,1,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Match overview,cornerKicks,Corner kicks,2,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Match overview,fouls,Fouls,5,6
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Match overview,passes,Passes,266,193
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Match overview,totalTackle,Tackles,8,4
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Match overview,freeKicks,Free kicks,6,5
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Match overview,yellowCards,Yellow cards,1,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Match overview,redCards,Red cards,0,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Shots,totalShotsOnGoal,Total shots,10,2
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Shots,shotsOnGoal,Shots on target,2,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Shots,hitWoodwork,Hit woodwork,1,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Shots,shotsOffGoal,Shots off target,4,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Shots,blockedScoringAttempt,Blocked shots,4,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Shots,totalShotsInsideBox,Shots inside box,6,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Shots,totalShotsOutsideBox,Shots outside box,4,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Attack,bigChanceScored,Big chances scored,1,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Attack,accurateThroughBall,Through balls,0,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Attack,fouledFinalThird,Fouled in final third,1,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Attack,offsides,Offsides,0,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Passes,accuratePasses,Accurate passes,237,164
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Passes,throwIns,Throw-ins,10,4
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Passes,finalThirdEntries,Final third entries,27,18
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Passes,accurateLongBalls,Long balls,21/29 (72%),9/24 (38%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Passes,accurateCross,Crosses,2/6 (33%),1/6 (17%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Duels,duelWonPercent,Duels,70%,30%
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Duels,dispossessed,Dispossessed,3,5
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Duels,groundDuelsPercentage,Ground duels,16/25 (64%),9/25 (36%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,1ST,Duels,aerialDuelsPercentage,Aerial duels,12/15 (80%),3/15 (20%)
